epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1897.96,1.02984,2.36811,1.45946,0.50601,0.57932,0.51711,0.299,1.71591,2.48616,2.23802,0.000103909,0.000103909,0.000103909
2,3677.48,0.96584,1.63413,1.39559,0.59899,0.39582,0.47666,0.28731,1.66416,2.13954,2.00367,0.000206181,0.000206181,0.000206181
3,4176.88,0.98788,1.63896,1.42515,0.73914,0.38442,0.51051,0.31771,1.30833,1.91044,1.6864,0.000306387,0.000306387,0.000306387
4,4782.07,0.96974,1.55984,1.40915,0.75762,0.42123,0.61556,0.36435,1.35673,1.62466,1.76606,0.000303704,0.000303704,0.000303704
5,5076.57,0.93614,1.49266,1.37658,0.73682,0.52393,0.61967,0.37659,1.21838,1.54348,1.65365,0.000300605,0.000300605,0.000300605
6,6146.03,0.89045,1.44123,1.34955,0.80765,0.52072,0.60348,0.35495,1.55774,1.58263,1.84237,0.000297507,0.000297507,0.000297507
7,7717.03,0.88006,1.37771,1.34013,0.70416,0.42518,0.54739,0.36067,1.1373,1.37841,1.51489,0.000294408,0.000294408,0.000294408
8,7939.18,0.85388,1.34318,1.32272,0.82814,0.56271,0.66821,0.44218,1.16456,1.32679,1.5652,0.000291309,0.000291309,0.000291309
9,8116.12,0.82425,1.2824,1.30203,0.79331,0.48703,0.64534,0.43917,1.03193,1.35303,1.43272,0.00028821,0.00028821,0.00028821
10,11948.5,0.80912,1.26639,1.29205,0.55135,0.65256,0.69935,0.42632,1.15809,1.34512,1.49748,0.000285112,0.000285112,0.000285112
11,13372.5,0.80163,1.22967,1.2837,0.56755,0.56859,0.6037,0.38469,1.17619,1.39124,1.54165,0.000282013,0.000282013,0.000282013
12,15293.9,0.78022,1.19572,1.26816,0.89319,0.6032,0.74738,0.45835,1.05113,1.18551,1.41099,0.000278914,0.000278914,0.000278914
13,15414.5,0.77585,1.16663,1.2654,0.52247,0.73016,0.70963,0.50533,1.05821,1.16285,1.43809,0.000275816,0.000275816,0.000275816
14,16584.6,0.75481,1.13056,1.24451,0.64268,0.58523,0.69233,0.45152,1.0718,1.09622,1.41728,0.000272717,0.000272717,0.000272717
15,17810,0.75115,1.11622,1.24386,0.73162,0.52803,0.67175,0.46337,1.08974,1.13386,1.43349,0.000269618,0.000269618,0.000269618
16,20769.2,0.7338,1.07908,1.23624,0.79756,0.50828,0.64056,0.44997,1.09293,1.18805,1.43831,0.00026652,0.00026652,0.00026652
17,26143.2,0.73593,1.07915,1.23063,0.655,0.64044,0.63417,0.4364,1.01139,1.05998,1.3609,0.000263421,0.000263421,0.000263421
18,27498,0.72872,1.07378,1.22711,0.59102,0.66779,0.67175,0.47488,1.05652,1.04554,1.44218,0.000260322,0.000260322,0.000260322
19,28385.1,0.70541,1.03796,1.22074,0.77682,0.59347,0.72134,0.51113,1.03206,1.02083,1.3699,0.000257223,0.000257223,0.000257223
20,29600,0.71102,1.01633,1.21657,0.67734,0.62311,0.68899,0.493,0.98527,0.97677,1.34714,0.000254125,0.000254125,0.000254125
