epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0032,1.0573,2.0642,1.50503,0.49164,0.26311,0.20732,0.11449,2.25393,4.37474,2.78627,0.000301493,0.000301493,0.000301493
2,81.5057,1.0975,1.88081,1.52926,0.31874,0.25853,0.27022,0.14765,2.40161,5.51985,2.81484,0.000598508,0.000598508,0.000598508
3,120.581,1.09054,1.89913,1.53097,0.12578,0.38687,0.11652,0.0508,2.49221,5.24106,2.92951,0.000889524,0.000889524,0.000889524
4,157.859,1.03469,1.84072,1.50213,0.24561,0.30589,0.24011,0.12351,1.91045,2.68415,2.33682,0.000882003,0.000882003,0.000882003
5,195.657,0.9881,1.73641,1.45893,0.27844,0.26953,0.22126,0.13287,1.87861,3.19326,2.24783,0.000873004,0.000873004,0.000873004
6,233.559,0.93553,1.69432,1.42424,0.22305,0.46713,0.22385,0.11796,1.7964,3.05254,2.37872,0.000864004,0.000864004,0.000864004
7,271.676,0.92105,1.64785,1.40575,0.29927,0.5737,0.40594,0.25268,1.42125,2.2395,1.8079,0.000855005,0.000855005,0.000855005
8,308.361,0.86963,1.57985,1.36825,0.44513,0.56735,0.53514,0.38499,1.26887,2.15086,1.70228,0.000846006,0.000846006,0.000846006
9,346.155,0.85301,1.55075,1.36733,0.552,0.49354,0.58561,0.39032,1.24145,1.6755,1.65819,0.000837007,0.000837007,0.000837007
10,383.293,0.84917,1.52054,1.36118,0.51824,0.5857,0.56617,0.39754,1.23059,1.67073,1.63792,0.000828008,0.000828008,0.000828008
11,420.647,0.83097,1.51435,1.3437,0.43436,0.60038,0.58049,0.38223,1.20093,1.68777,1.63873,0.000819009,0.000819009,0.000819009
12,457.02,0.81601,1.476,1.33204,0.59473,0.59487,0.57157,0.39973,1.2562,1.71439,1.6729,0.00081001,0.00081001,0.00081001
13,493.443,0.80434,1.43792,1.32087,0.51022,0.62212,0.57163,0.41166,1.23526,1.57477,1.60201,0.000801011,0.000801011,0.000801011
14,530.355,0.77604,1.39741,1.30424,0.54145,0.64435,0.55791,0.37134,1.26237,1.54082,1.64223,0.000792012,0.000792012,0.000792012
15,566.845,0.76353,1.36628,1.29622,0.49283,0.70496,0.5912,0.42952,1.09996,1.54867,1.52322,0.000783013,0.000783013,0.000783013
16,603.735,0.7652,1.38674,1.29765,0.5725,0.64603,0.65041,0.46273,1.19407,1.49952,1.60604,0.000774013,0.000774013,0.000774013
17,641.585,0.76956,1.36532,1.29592,0.56917,0.69458,0.66279,0.44887,1.17301,1.40547,1.57811,0.000765014,0.000765014,0.000765014
18,738.325,0.75307,1.33081,1.28199,0.67069,0.57945,0.68261,0.46216,1.21258,1.5066,1.57662,0.000756015,0.000756015,0.000756015
19,3091.59,0.74566,1.33758,1.2842,0.63272,0.64989,0.6967,0.49943,1.18443,1.45454,1.59881,0.000747016,0.000747016,0.000747016
20,4206.39,0.73909,1.30574,1.27643,0.59185,0.62722,0.65813,0.47039,1.29479,1.4576,1.66944,0.000738017,0.000738017,0.000738017
21,4841.03,0.7106,1.26785,1.25701,0.65539,0.73789,0.75235,0.54186,1.11458,1.35041,1.50409,0.000729018,0.000729018,0.000729018
22,5802.16,0.74192,1.30941,1.2757,0.67191,0.73528,0.78683,0.5653,1.15626,1.32453,1.5503,0.000720019,0.000720019,0.000720019
23,6593.24,0.70141,1.23311,1.25062,0.67657,0.73011,0.76577,0.54382,1.11451,1.43853,1.53335,0.00071102,0.00071102,0.00071102
24,6928.93,0.7054,1.23645,1.25217,0.72889,0.75149,0.77485,0.57154,1.07931,1.23529,1.46682,0.000702021,0.000702021,0.000702021
25,8207.95,0.7027,1.23375,1.24536,0.72387,0.66697,0.72724,0.53689,1.09389,1.30597,1.50347,0.000693022,0.000693022,0.000693022
26,8605.68,0.70725,1.24026,1.25548,0.63675,0.76093,0.78318,0.57967,1.08184,1.30728,1.44509,0.000684022,0.000684022,0.000684022
27,8843.37,0.70498,1.23497,1.24934,0.75868,0.76056,0.81357,0.59687,1.0875,1.16824,1.46935,0.000675023,0.000675023,0.000675023
28,12476.1,0.68307,1.17987,1.23643,0.80476,0.73409,0.8351,0.62804,1.0897,1.15238,1.44304,0.000666024,0.000666024,0.000666024
29,14065.9,0.66356,1.16045,1.22695,0.83056,0.72601,0.80852,0.62711,1.04903,1.24973,1.43676,0.000657025,0.000657025,0.000657025
30,15633.1,0.69262,1.18984,1.238,0.69967,0.7294,0.78842,0.61288,1.02983,1.22809,1.40041,0.000648026,0.000648026,0.000648026
31,15801.5,0.68289,1.16026,1.23614,0.80615,0.7731,0.82021,0.6603,0.97321,1.19429,1.34791,0.000639027,0.000639027,0.000639027
32,15952.9,0.67681,1.14825,1.22988,0.70066,0.72923,0.76085,0.58448,1.03674,1.18581,1.40934,0.000630028,0.000630028,0.000630028
33,17312.3,0.66101,1.14326,1.21751,0.67624,0.78427,0.82639,0.63638,1.12147,1.23641,1.53487,0.000621029,0.000621029,0.000621029
34,18094.7,0.66741,1.14917,1.21949,0.78455,0.7723,0.83131,0.5757,1.138,1.17526,1.5007,0.00061203,0.00061203,0.00061203
35,18307.9,0.64451,1.11216,1.21124,0.72707,0.82152,0.83243,0.64349,1.01857,1.11258,1.41548,0.000603031,0.000603031,0.000603031
36,18464.4,0.65838,1.10606,1.21433,0.76176,0.80866,0.84683,0.66141,1.01595,1.11055,1.39483,0.000594031,0.000594031,0.000594031
37,18560.6,0.64451,1.10215,1.21029,0.82904,0.71861,0.83959,0.65686,1.03644,1.1212,1.41895,0.000585032,0.000585032,0.000585032
38,21352.4,0.65259,1.08185,1.20769,0.81295,0.74429,0.83922,0.65467,1.04188,1.04156,1.39343,0.000576033,0.000576033,0.000576033
39,26839.6,0.63852,1.06494,1.19175,0.71518,0.80295,0.79695,0.61829,1.03799,1.12604,1.4109,0.000567034,0.000567034,0.000567034
40,27702.6,0.64212,1.08634,1.20731,0.73862,0.82847,0.83875,0.66909,1.01087,1.06784,1.34715,0.000558035,0.000558035,0.000558035
41,28013.1,0.63263,1.06362,1.19991,0.79582,0.82704,0.88126,0.66853,1.0285,1.02937,1.37301,0.000549036,0.000549036,0.000549036
42,28220.9,inf,1.03027,1.19008,0.83064,0.76543,0.85561,0.66198,1.05529,1.07988,1.40968,0.000540037,0.000540037,0.000540037
43,28895.9,0.63314,1.0528,1.19356,0.82443,0.84937,0.87099,0.70546,0.99519,0.99547,1.34008,0.000531038,0.000531038,0.000531038
44,30591.1,0.62638,1.02017,1.19308,0.86135,0.74771,0.86455,0.69365,1.10915,1.14881,1.48206,0.000522039,0.000522039,0.000522039
45,32133,0.62462,1.03464,1.18875,0.7908,0.81915,0.84705,0.68596,0.97525,1.06429,1.35761,0.00051304,0.00051304,0.00051304
46,33394.2,0.62143,1.01855,1.18637,0.8256,0.82666,0.87106,0.70074,0.97461,0.99845,1.32847,0.00050404,0.00050404,0.00050404
47,33631.5,0.61984,1.004,1.18103,0.76065,0.82778,0.86455,0.70295,1.01359,0.96892,1.3644,0.000495041,0.000495041,0.000495041
48,33748.9,0.60004,0.98621,1.17458,0.84593,0.82798,0.87898,0.69778,0.99777,0.98715,1.3623,0.000486042,0.000486042,0.000486042
49,35914.4,0.61513,0.96833,1.1798,0.8243,0.80662,0.87198,0.71274,0.9522,1.02923,1.31671,0.000477043,0.000477043,0.000477043
50,37716.5,0.611,0.97722,1.18068,0.83256,0.81194,0.87497,0.71967,1.01479,0.98405,1.37659,0.000468044,0.000468044,0.000468044
51,37933.3,0.60107,0.96381,1.17085,0.79619,0.81389,0.88153,0.69825,1.05444,0.97186,1.41467,0.000459045,0.000459045,0.000459045
52,38114.9,0.60039,0.96145,1.1668,0.81335,0.83548,0.88781,0.71494,1.00802,0.98782,1.37731,0.000450046,0.000450046,0.000450046
53,38207.1,0.59574,0.94465,1.16713,0.84998,0.79717,0.8657,0.71214,0.99059,0.99542,1.32897,0.000441047,0.000441047,0.000441047
